index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
11349,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-03,07:28:00,2019-01-03,07:27:00,Thu
17112,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,4.0,estimated,Gladstone Branch,NJ Transit,2019-01-03,08:11:00,2019-01-03,08:15:00,Thu
21889,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-04,07:28:00,2019-01-04,07:27:00,Fri
25171,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-04,08:11:00,2019-01-04,08:11:00,Fri
40131,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,30.0,estimated,Gladstone Branch,NJ Transit,2019-01-07,08:11:00,2019-01-07,08:41:00,Mon
43810,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-07,07:28:00,2019-01-07,07:28:00,Mon
49120,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-08,07:28:00,2019-01-08,07:28:00,Tue
52504,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,4.0,estimated,Gladstone Branch,NJ Transit,2019-01-08,08:11:00,2019-01-08,08:15:00,Tue
59654,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-09,07:28:00,2019-01-09,07:27:00,Wed
60874,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2019-01-09,08:11:00,2019-01-09,08:12:00,Wed
69251,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2019-01-10,08:11:00,2019-01-10,08:13:00,Thu
70541,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2019-01-10,07:28:00,2019-01-10,07:29:00,Thu
77045,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,16.0,estimated,Gladstone Branch,NJ Transit,2019-01-11,08:11:00,2019-01-11,08:27:00,Fri
80377,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-11,07:28:00,2019-01-11,07:28:00,Fri
92728,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-14,07:28:00,2019-01-14,07:27:00,Mon
101471,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,63.0,estimated,Gladstone Branch,NJ Transit,2019-01-14,08:11:00,2019-01-14,09:14:00,Mon
104069,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,6.0,estimated,Gladstone Branch,NJ Transit,2019-01-15,07:28:00,2019-01-15,07:34:00,Tue
