level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
1515,2077,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,06:46:00,2019-01-02,06:50:00,Wed
1914,2573,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,13:42:00,2019-01-02,13:48:00,Wed
2180,2870,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,19:03:00,2019-01-02,18:59:00,Wed
4080,5067,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,15:48:00,2019-01-02,15:47:00,Wed
4175,5179,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,22:05:00,2019-01-02,22:07:00,Wed
4193,5197,6280,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,00:04:00,2019-01-03,00:10:00,Thu
4569,5655,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,11:52:00,2019-01-02,11:55:00,Wed
4904,6033,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,14:49:00,2019-01-02,14:48:00,Wed
5146,6322,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,17:57:00,2019-01-02,17:58:00,Wed
5208,6384,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,20:16:00,2019-01-02,20:15:00,Wed
5365,6557,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,12:44:00,2019-01-02,12:43:00,Wed
7547,9133,6270,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,21:00:00,2019-01-02,20:59:00,Wed
7629,9238,6248,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,17:10:00,2019-01-02,17:09:00,Wed
7777,9411,6222,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,8.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,10:56:00,2019-01-02,11:04:00,Wed
7873,9525,6278,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-02,23:16:00,2019-01-02,23:15:00,Wed
9052,10784,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,19:03:00,2019-01-03,18:59:00,Thu
9373,11157,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,06:04:00,2019-01-03,06:03:00,Thu
9463,11270,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,24.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,13:42:00,2019-01-03,14:06:00,Thu
9853,11767,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,19.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,06:46:00,2019-01-03,07:05:00,Thu
9866,11780,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,11:52:00,2019-01-03,11:51:00,Thu
9943,11881,6210,11.0,Watsessing Avenue,154.0,New York Penn Station,105.0,4.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,08:20:00,2019-01-03,08:24:00,Thu
10269,12254,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,09:50:00,2019-01-03,09:51:00,Thu
10514,12555,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,22:05:00,2019-01-03,22:04:00,Thu
10563,12608,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,9.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,15:48:00,2019-01-03,15:57:00,Thu
12859,15232,6206,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,07:40:00,2019-01-03,07:40:00,Thu
12904,15290,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,12:44:00,2019-01-03,12:43:00,Thu
13180,15578,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,20:16:00,2019-01-03,20:17:00,Thu
13252,15681,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,17:57:00,2019-01-03,18:00:00,Thu
13476,15946,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,14:49:00,2019-01-03,14:48:00,Thu
13538,16024,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,05:32:00,2019-01-03,05:31:00,Thu
13911,16427,6278,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,23:16:00,2019-01-03,23:15:00,Thu
14093,16621,6222,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,10:56:00,2019-01-03,10:58:00,Thu
14237,16788,6214,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,8.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,08:59:00,2019-01-03,09:07:00,Thu
14288,16839,6248,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,17:10:00,2019-01-03,17:16:00,Thu
14439,17013,6270,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-03,21:00:00,2019-01-03,20:59:00,Thu
17243,20154,6210,11.0,Watsessing Avenue,154.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,08:20:00,2019-01-04,08:23:00,Fri
17341,20273,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,11:52:00,2019-01-04,11:51:00,Fri
17490,20443,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,15:48:00,2019-01-04,15:47:00,Fri
17540,20493,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,22:05:00,2019-01-04,22:04:00,Fri
17587,20551,6280,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,7.0,estimated,Montclair-Boonton,NJ Transit,2019-01-05,00:04:00,2019-01-05,00:11:00,Sat
17797,20775,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,09:50:00,2019-01-04,09:51:00,Fri
17903,20888,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,13:42:00,2019-01-04,13:41:00,Fri
18033,21018,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,06:04:00,2019-01-04,06:03:00,Fri
18352,21373,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,19:03:00,2019-01-04,18:59:00,Fri
18457,21479,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,06:46:00,2019-01-04,06:52:00,Fri
21016,24408,6214,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,08:59:00,2019-01-04,09:05:00,Fri
21196,24605,6222,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,10:56:00,2019-01-04,10:58:00,Fri
21362,24780,6278,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,9.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,23:16:00,2019-01-04,23:25:00,Fri
21777,25292,6270,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,21:00:00,2019-01-04,20:59:00,Fri
21904,25449,6248,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,17:10:00,2019-01-04,17:09:00,Fri
22034,25607,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,12.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,17:57:00,2019-01-04,18:09:00,Fri
22132,25709,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,20:16:00,2019-01-04,20:16:00,Fri
22409,26003,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,12:44:00,2019-01-04,12:43:00,Fri
22439,26045,6206,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,07:40:00,2019-01-04,07:40:00,Fri
22849,26528,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,05:32:00,2019-01-04,05:31:00,Fri
22903,26597,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-04,14:49:00,2019-01-04,14:48:00,Fri
33930,38890,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-07,05:32:00,2019-01-07,05:31:00,Mon
34018,39000,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-07,14:49:00,2019-01-07,14:48:00,Mon
34284,39300,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-01-07,17:57:00,2019-01-07,18:03:00,Mon
34344,39377,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Montclair-Boonton,NJ Transit,2019-01-07,20:16:00,2019-01-07,20:21:00,Mon
34560,39593,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-01-07,12:44:00,2019-01-07,12:43:00,Mon
