index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
673,6942,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-01,23:39:00,2019-01-01,23:39:00,Tue
1418,6938,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-01,21:39:00,2019-01-01,21:39:00,Tue
1606,6922,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,10.0,estimated,Morristown Line,NJ Transit,2019-01-01,13:39:00,2019-01-01,13:49:00,Tue
1784,6924,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-01,14:39:00,2019-01-01,14:39:00,Tue
2130,6658,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-02,17:31:00,2019-01-02,17:30:00,Wed
2196,6656,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2019-01-02,17:03:00,2019-01-02,17:04:00,Wed
2474,6668,15.0,Newark Broad Street,106.0,New York Penn Station,105.0,5.0,estimated,Morristown Line,NJ Transit,2019-01-02,19:54:00,2019-01-02,19:59:00,Wed
2498,6650,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-02,16:11:00,2019-01-02,16:10:00,Wed
2615,6666,15.0,Newark Broad Street,106.0,New York Penn Station,105.0,17.0,estimated,Morristown Line,NJ Transit,2019-01-02,19:14:00,2019-01-02,19:31:00,Wed
2773,6632,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Morristown Line,NJ Transit,2019-01-02,11:26:00,2019-01-02,11:29:00,Wed
3539,6314,5.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-02,08:01:00,2019-01-02,08:01:00,Wed
5292,6644,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-02,14:27:00,2019-01-02,14:27:00,Wed
5335,6672,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-02,21:23:00,2019-01-02,21:22:00,Wed
5587,6674,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-02,21:56:00,2019-01-02,21:55:00,Wed
5974,6664,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Morristown Line,NJ Transit,2019-01-02,18:42:00,2019-01-02,18:47:00,Wed
6307,6636,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Morristown Line,NJ Transit,2019-01-02,12:21:00,2019-01-02,12:24:00,Wed
6574,6654,17.0,Newark Broad Street,106.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2019-01-02,16:52:00,2019-01-02,16:54:00,Wed
6649,6662,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Morristown Line,NJ Transit,2019-01-02,18:15:00,2019-01-02,18:20:00,Wed
7036,6320,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-02,09:12:00,2019-01-02,09:12:00,Wed
7612,6328,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-02,10:40:00,2019-01-02,10:39:00,Wed
7754,6332,10.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-02,11:19:00,2019-01-02,11:18:00,Wed
8866,6640,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Morristown Line,NJ Transit,2019-01-02,13:27:00,2019-01-02,13:32:00,Wed
8883,6676,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,6.0,estimated,Morristown Line,NJ Transit,2019-01-02,23:02:00,2019-01-02,23:08:00,Wed
9258,6670,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-02,20:27:00,2019-01-02,20:26:00,Wed
9297,6648,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-02,15:24:00,2019-01-02,15:24:00,Wed
10013,6314,5.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2019-01-03,08:01:00,2019-01-03,08:03:00,Thu
10604,6324,7.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,09:42:00,2019-01-03,09:42:00,Thu
10820,6604,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,06:29:00,2019-01-03,06:28:00,Thu
10905,6632,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Morristown Line,NJ Transit,2019-01-03,11:26:00,2019-01-03,11:31:00,Thu
11172,6666,15.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,19:14:00,2019-01-03,19:13:00,Thu
11213,6650,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,16:11:00,2019-01-03,16:10:00,Thu
11299,6668,15.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,19:54:00,2019-01-03,19:53:00,Thu
11587,6602,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,05:44:00,2019-01-03,05:43:00,Thu
11636,6656,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2019-01-03,17:03:00,2019-01-03,17:05:00,Thu
11706,6658,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.0,estimated,Morristown Line,NJ Transit,2019-01-03,17:31:00,2019-01-03,17:35:00,Thu
11870,6674,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,21:56:00,2019-01-03,21:55:00,Thu
11951,6620,10.0,South Orange,140.0,New York Penn Station,105.0,4.0,estimated,Morristown Line,NJ Transit,2019-01-03,08:55:00,2019-01-03,08:59:00,Thu
12173,6616,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,4.0,estimated,Morristown Line,NJ Transit,2019-01-03,08:26:00,2019-01-03,08:30:00,Thu
12270,6672,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2019-01-03,21:23:00,2019-01-03,21:25:00,Thu
12312,6644,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,8.0,estimated,Morristown Line,NJ Transit,2019-01-03,14:27:00,2019-01-03,14:35:00,Thu
12422,6628,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,10:25:00,2019-01-03,10:24:00,Thu
12496,6610,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,07:18:00,2019-01-03,07:16:00,Thu
13974,6328,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,10:40:00,2019-01-03,10:39:00,Thu
14530,6318,4.0,Brick Church,23.0,New York Penn Station,105.0,9.0,estimated,Morristown Line,NJ Transit,2019-01-03,08:38:00,2019-01-03,08:47:00,Thu
14622,6320,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2019-01-03,09:12:00,2019-01-03,09:13:00,Thu
15198,6662,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,6.0,estimated,Morristown Line,NJ Transit,2019-01-03,18:15:00,2019-01-03,18:21:00,Thu
15307,6654,17.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,16:52:00,2019-01-03,16:51:00,Thu
15657,6636,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Morristown Line,NJ Transit,2019-01-03,12:21:00,2019-01-03,12:24:00,Thu
16044,6664,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,10.0,estimated,Morristown Line,NJ Transit,2019-01-03,18:42:00,2019-01-03,18:52:00,Thu
16333,6606,14.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2019-01-03,06:56:00,2019-01-03,06:57:00,Thu
16398,6624,14.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,09:31:00,2019-01-03,09:30:00,Thu
16571,6612,12.0,Maplewood,81.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,07:32:00,2019-01-03,07:32:00,Thu
16765,6648,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,15:24:00,2019-01-03,15:23:00,Thu
16814,6670,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2019-01-03,20:27:00,2019-01-03,20:26:00,Thu
