level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
1032005,1179348,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-02,14:13:00,2019-12-02,14:12:00,Mon
1035005,1182616,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-02,21:13:00,2019-12-02,21:12:00,Mon
1035430,1183074,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-02,22:10:00,2019-12-02,22:09:00,Mon
1035773,1183452,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-02,10:09:00,2019-12-02,10:08:00,Mon
1039545,1187681,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-02,13:12:00,2019-12-02,13:11:00,Mon
1039647,1187828,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-02,20:02:00,2019-12-02,20:01:00,Mon
1039915,1188138,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-02,12:12:00,2019-12-02,12:11:00,Mon
1041466,1189809,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-03,11:10:00,2019-12-03,11:09:00,Tue
1041795,1190154,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-03,14:13:00,2019-12-03,14:12:00,Tue
1042517,1190923,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-03,22:10:00,2019-12-03,22:09:00,Tue
1042948,1191396,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Raritan Valley,NJ Transit,2019-12-03,21:13:00,2019-12-03,21:16:00,Tue
1046188,1195027,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-03,10:09:00,2019-12-03,10:08:00,Tue
1046411,1195304,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-03,12:12:00,2019-12-03,12:11:00,Tue
1046724,1195647,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-03,20:02:00,2019-12-03,20:01:00,Tue
1046814,1195779,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0000000000000004,estimated,Raritan Valley,NJ Transit,2019-12-03,13:12:00,2019-12-03,13:14:00,Tue
1049626,1198949,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-04,22:10:00,2019-12-04,22:09:00,Wed
1050316,1199725,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-04,21:13:00,2019-12-04,21:12:00,Wed
1050666,1200085,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Raritan Valley,NJ Transit,2019-12-04,11:10:00,2019-12-04,11:13:00,Wed
1051624,1201058,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,20.0,estimated,Raritan Valley,NJ Transit,2019-12-04,14:13:00,2019-12-04,14:33:00,Wed
1053885,1203525,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-04,20:02:00,2019-12-04,20:01:00,Wed
