week_day,hour,heatdata
Fri,0,"[0.0, 0.0]"
Fri,5,"[0.11538461538461542, 1.1057692307692308]"
Fri,6,"[0.4585365853658536, 2.0390243902439025]"
Fri,7,"[0.37055837563451777, 2.685279187817259]"
Fri,8,"[0.6731517509727627, 5.221789883268483]"
Fri,9,"[0.6019736842105263, 4.292763157894737]"
Fri,10,"[0.37073170731707317, 3.5365853658536586]"
Fri,11,"[0.5365853658536586, 3.6341463414634148]"
Fri,12,"[0.4854368932038835, 2.9805825242718447]"
Fri,13,"[0.5048543689320388, 3.0388349514563107]"
Fri,14,"[0.46601941747572817, 2.7281553398058254]"
Fri,15,"[0.4807692307692307, 5.615384615384615]"
Fri,16,"[0.321608040201005, 3.0954773869346734]"
Fri,17,"[0.5445026178010471, 3.3717277486910993]"
Fri,18,"[0.7733990147783252, 8.039408866995075]"
Fri,19,"[0.47058823529411764, 5.568627450980392]"
Fri,20,"[0.33333333333333337, 3.5784313725490198]"
Fri,21,"[0.553921568627451, 6.21078431372549]"
Fri,23,"[0.7669902912621359, 8.194174757281553]"
Mon,0,"[1.0, 3.0]"
Mon,5,"[0.20618556701030932, 1.041237113402062]"
Mon,6,"[0.45128205128205123, 1.7846153846153847]"
Mon,7,"[0.3924731182795699, 2.5483870967741935]"
Mon,8,"[0.7447698744769875, 5.7238493723849375]"
Mon,9,"[0.6947368421052631, 5.028070175438597]"
Mon,10,"[0.3857868020304569, 3.1776649746192893]"
Mon,11,"[0.5459183673469388, 4.23469387755102]"
Mon,12,"[0.47058823529411764, 2.411764705882353]"
Mon,13,"[0.4554455445544554, 3.4158415841584158]"
Mon,14,"[0.28431372549019607, 1.5]"
Mon,15,"[0.27184466019417475, 1.5825242718446602]"
Mon,16,"[0.28421052631578947, 1.4684210526315788]"
Mon,17,"[0.5243243243243243, 3.1945945945945944]"
Mon,18,"[0.7282051282051283, 6.220512820512821]"
Mon,19,"[0.3908629441624365, 4.4213197969543145]"
Mon,20,"[0.4, 3.91]"
Mon,21,"[0.47208121827411165, 5.182741116751269]"
Mon,22,"[0.25, 1.0]"
Mon,23,"[0.6470588235294117, 4.911764705882353]"
Sat,6,"[0.12621359223300976, 1.3592233009708738]"
Sat,7,"[0.32692307692307687, 2.0096153846153846]"
Sat,8,"[0.41000000000000003, 3.17]"
Sat,9,"[0.38235294117647056, 4.127450980392157]"
Sat,10,"[0.4423076923076923, 3.5673076923076925]"
Sat,11,"[0.6407766990291262, 5.203883495145631]"
Sat,12,"[0.33653846153846156, 2.951923076923077]"
Sat,13,"[0.5392156862745099, 4.950980392156863]"
Sat,14,"[0.3203883495145631, 2.7864077669902914]"
Sat,15,"[0.5048543689320388, 5.58252427184466]"
Sat,16,"[0.4607843137254902, 2.823529411764706]"
Sat,17,"[0.4368932038834952, 4.29126213592233]"
Sat,18,"[0.29292929292929293, 2.6262626262626263]"
Sat,19,"[0.43000000000000005, 4.62]"
Sat,20,"[0.20588235294117652, 1.7450980392156863]"
Sat,21,"[0.32352941176470584, 2.7549019607843137]"
Sat,22,"[0.27184466019417475, 1.5631067961165048]"
