week_day,hour,heatdata
Fri,0,"[0.19999999999999996, 0.9333333333333333]"
Fri,1,"[0.2777777777777778, 5.888888888888889]"
Fri,2,"[0.17204301075268813, 1.1935483870967742]"
Fri,5,"[0.05797101449275366, 0.7342995169082126]"
Fri,6,"[0.10679611650485432, 1.0388349514563107]"
Fri,7,"[0.5616438356164384, 4.041095890410959]"
Fri,8,"[0.784841075794621, 5.82640586797066]"
Fri,9,"[0.5080906148867315, 3.2718446601941746]"
Fri,10,"[0.51, 3.175]"
Fri,11,"[0.2524271844660194, 1.7766990291262137]"
Fri,12,"[0.45192307692307687, 3.8076923076923075]"
Fri,13,"[0.4854368932038835, 3.0388349514563107]"
Fri,14,"[0.40384615384615385, 2.8173076923076925]"
Fri,15,"[0.2941176470588235, 2.9215686274509802]"
Fri,16,"[0.3921568627450981, 3.1176470588235294]"
Fri,17,"[0.5226130653266332, 4.100502512562814]"
Fri,18,"[0.8235294117647058, 7.127450980392157]"
Fri,19,"[0.6658415841584158, 4.606435643564357]"
Fri,20,"[0.3349753694581281, 3.2413793103448274]"
Fri,21,"[0.24752475247524752, 2.0544554455445545]"
Fri,22,"[0.8737864077669903, 9.504854368932039]"
Mon,1,"[0.1428571428571429, 1.4285714285714286]"
Mon,2,"[0.11764705882352944, 2.1666666666666665]"
Mon,5,"[0.08947368421052626, 0.8315789473684211]"
Mon,6,"[0.11650485436893199, 0.6699029126213593]"
Mon,7,"[0.4444444444444444, 2.6666666666666665]"
Mon,8,"[0.8093994778067886, 5.5483028720626635]"
Mon,9,"[0.7093425605536332, 4.141868512110727]"
Mon,10,"[0.4717948717948718, 3.348717948717949]"
Mon,11,"[0.24545454545454548, 2.018181818181818]"
Mon,12,"[0.48514851485148514, 5.465346534653466]"
Mon,13,"[0.5045045045045045, 3.5225225225225225]"
Mon,14,"[0.37623762376237624, 2.5346534653465347]"
Mon,15,"[0.25742574257425743, 2.297029702970297]"
Mon,16,"[0.2912621359223301, 1.6310679611650485]"
Mon,17,"[0.36410256410256414, 2.9743589743589745]"
Mon,18,"[0.6372549019607843, 3.9215686274509802]"
Mon,19,"[0.5885416666666667, 4.026041666666667]"
Mon,20,"[0.38144329896907214, 2.768041237113402]"
Mon,21,"[0.26041666666666663, 2.8802083333333335]"
Mon,22,"[0.7821782178217822, 3.762376237623762]"
Mon,23,"[0.33333333333333337, 0.6666666666666666]"
Sat,0,"[0.36363636363636365, 3.2045454545454546]"
Sat,1,"[0.17045454545454541, 1.7613636363636365]"
Sat,2,"[0.18627450980392157, 2.3627450980392157]"
Sat,6,"[0.1923076923076923, 1.5384615384615385]"
Sat,7,"[0.3203883495145631, 1.8932038834951457]"
Sat,8,"[0.5436893203883495, 5.563106796116505]"
Sat,9,"[0.6213592233009708, 6.009708737864078]"
Sat,10,"[0.29292929292929293, 3.0202020202020203]"
Sat,11,"[0.42713567839195976, 3.5025125628140703]"
Sat,12,"[0.7075471698113207, 7.311320754716981]"
Sat,13,"[0.38265306122448983, 3.4183673469387754]"
Sat,14,"[0.46153846153846156, 5.490384615384615]"
Sat,15,"[0.7184466019417476, 8.932038834951456]"
Sat,16,"[0.5865384615384616, 6.519230769230769]"
Sat,17,"[0.594059405940594, 6.138613861386139]"
Sat,18,"[0.8269230769230769, 10.471153846153847]"
Sat,19,"[0.5148514851485149, 5.99009900990099]"
Sat,20,"[0.38144329896907214, 5.505154639175258]"
Sat,21,"[0.6153846153846154, 5.9326923076923075]"
Sat,22,"[0.5192307692307692, 4.240384615384615]"
Sat,23,"[0.6372549019607843, 6.7254901960784315]"
Sun,1,"[0.02083333333333337, 0.25]"
Sun,2,"[0.0, 0.0]"
Sun,6,"[0.13861386138613863, 1.188118811881188]"
Sun,7,"[0.24752475247524752, 2.366336633663366]"
Sun,8,"[0.33999999999999997, 3.16]"
Sun,9,"[0.6019417475728155, 5.135922330097087]"
Sun,10,"[0.31413612565445026, 2.6387434554973823]"
Sun,11,"[0.31052631578947365, 2.1578947368421053]"
Sun,12,"[0.4380952380952381, 4.838095238095238]"
Sun,13,"[0.33678756476683935, 3.238341968911917]"
Sun,14,"[0.38834951456310685, 4.41747572815534]"
Sun,15,"[0.5392156862745099, 5.186274509803922]"
Sun,16,"[0.5242718446601942, 6.41747572815534]"
Sun,17,"[0.6, 7.37]"
Sun,18,"[0.8235294117647058, 9.176470588235293]"
Sun,19,"[0.5700000000000001, 5.6]"
Sun,20,"[0.46875, 5.322916666666667]"
Sun,21,"[0.6310679611650485, 6.262135922330097]"
Sun,22,"[0.49514563106796117, 3.621359223300971]"
Sun,23,"[0.5465116279069768, 4.8604651162790695]"
Thu,0,"[0.5955056179775281, 6.876404494382022]"
Thu,1,"[0.25, 1.391304347826087]"
Thu,2,"[0.0, 0.0]"
Thu,5,"[0.0643564356435643, 0.698019801980198]"
Thu,6,"[0.10576923076923073, 0.4230769230769231]"
Thu,7,"[0.4931506849315068, 2.1780821917808217]"
Thu,8,"[0.8137254901960784, 5.553921568627451]"
Thu,9,"[0.607843137254902, 3.2973856209150325]"
Thu,10,"[0.5170731707317073, 3.4390243902439024]"
Thu,11,"[0.33018867924528306, 2.2735849056603774]"
Thu,12,"[0.5631067961165048, 4.514563106796117]"
Thu,13,"[0.5, 3.230769230769231]"
Thu,14,"[0.4019607843137255, 2.392156862745098]"
Thu,15,"[0.18627450980392157, 1.2843137254901962]"
Thu,16,"[0.23529411764705888, 1.6470588235294117]"
Thu,17,"[0.45320197044334976, 3.310344827586207]"
Thu,18,"[0.7669902912621359, 6.834951456310679]"
Thu,19,"[0.600997506234414, 4.7905236907730675]"
Thu,20,"[0.27184466019417475, 1.587378640776699]"
Thu,21,"[0.29064039408866993, 2.2610837438423643]"
Thu,22,"[0.7864077669902912, 5.766990291262136]"
Thu,23,"[0.6666666666666667, 6.333333333333333]"
Tue,0,"[0.33684210526315794, 3.568421052631579]"
Tue,1,"[0.22999999999999998, 2.97]"
Tue,2,"[0.0, 0.0]"
Tue,5,"[0.09313725490196079, 0.4215686274509804]"
Tue,6,"[0.09708737864077666, 0.49514563106796117]"
Tue,7,"[0.46153846153846156, 2.292307692307692]"
Tue,8,"[0.8233830845771144, 6.213930348258707]"
Tue,9,"[0.6566666666666667, 4.3933333333333335]"
Tue,10,"[0.4494949494949495, 3.1818181818181817]"
Tue,11,"[0.2761904761904762, 1.5523809523809524]"
Tue,12,"[0.47058823529411764, 5.098039215686274]"
Tue,13,"[0.5096153846153846, 3.1153846153846154]"
Tue,14,"[0.38834951456310685, 2.6601941747572817]"
Tue,15,"[0.19417475728155342, 0.9223300970873787]"
Tue,16,"[0.2941176470588235, 2.8137254901960786]"
Tue,17,"[0.33333333333333337, 2.4029850746268657]"
Tue,18,"[0.6831683168316831, 4.227722772277228]"
Tue,19,"[0.6147959183673469, 3.806122448979592]"
Tue,20,"[0.3487179487179487, 2.194871794871795]"
Tue,21,"[0.18905472636815923, 1.2189054726368158]"
Tue,22,"[0.8137254901960784, 4.921568627450981]"
Tue,23,"[0.0, 0.0]"
Wed,0,"[0.33333333333333337, 1.5555555555555556]"
Wed,1,"[0.16666666666666663, 0.5833333333333334]"
Wed,2,"[0.12903225806451613, 1.2580645161290323]"
Wed,5,"[0.05699481865284972, 0.47150259067357514]"
Wed,6,"[0.0980392156862745, 1.0196078431372548]"
Wed,7,"[0.5333333333333333, 2.1666666666666665]"
Wed,8,"[0.8181818181818181, 5.611111111111111]"
Wed,9,"[0.6418918918918919, 3.425675675675676]"
Wed,10,"[0.5252525252525253, 3.3181818181818183]"
Wed,11,"[0.2990654205607477, 2.485981308411215]"
Wed,12,"[0.5333333333333333, 4.457142857142857]"
Wed,13,"[0.5961538461538461, 4.25]"
Wed,14,"[0.48039215686274506, 3.607843137254902]"
Wed,15,"[0.2912621359223301, 2.233009708737864]"
Wed,16,"[0.18627450980392157, 1.5294117647058822]"
Wed,17,"[0.395, 2.975]"
Wed,18,"[0.7087378640776699, 4.485436893203883]"
Wed,19,"[0.6085858585858586, 4.398989898989899]"
Wed,20,"[0.3219512195121951, 2.5853658536585367]"
Wed,21,"[0.23115577889447236, 2.185929648241206]"
Wed,22,"[0.8431372549019608, 5.2254901960784315]"
Wed,23,"[0.19999999999999996, 2.8]"
