week_day,hour,heatdata
Fri,0,"[0.16666666666666663, 1.3333333333333333]"
Fri,1,"[0.1333333333333333, 3.933333333333333]"
Fri,2,"[0.18279569892473113, 1.2150537634408602]"
Fri,5,"[0.1121951219512195, 1.048780487804878]"
Fri,6,"[0.25651302605210424, 2.176352705410822]"
Fri,7,"[0.38300492610837433, 2.7598522167487687]"
Fri,8,"[0.769811320754717, 6.367295597484277]"
Fri,9,"[0.5932415519399249, 4.331664580725907]"
Fri,10,"[0.5119760479041916, 5.119760479041916]"
Fri,11,"[0.4901960784313726, 3.784313725490196]"
Fri,12,"[0.23076923076923073, 1.7115384615384615]"
Fri,13,"[0.5407166123778502, 2.416938110749186]"
Fri,14,"[0.18357487922705318, 0.6763285024154589]"
Fri,15,"[0.21739130434782605, 1.4734299516908214]"
Fri,16,"[0.5815085158150852, 3.8880778588807785]"
Fri,17,"[0.7575757575757576, 5.181818181818182]"
Fri,18,"[0.6304347826086957, 4.0019762845849804]"
Fri,19,"[0.4782608695652174, 2.9371980676328504]"
Fri,20,"[0.3495145631067961, 2.5825242718446604]"
Fri,21,"[0.15384615384615385, 0.7980769230769231]"
Fri,22,"[0.38110749185667747, 3.224755700325733]"
Fri,23,"[0.7941176470588236, 4.401960784313726]"
Mon,0,"[0.33333333333333337, 3.0]"
Mon,1,"[0.0, 0.0]"
Mon,2,"[0.08737864077669899, 0.7087378640776699]"
Mon,5,"[0.1523809523809524, 1.819047619047619]"
Mon,6,"[0.29694323144104806, 1.7074235807860263]"
Mon,7,"[0.3924380704041721, 1.9217731421121251]"
Mon,8,"[0.8390052356020943, 5.87303664921466]"
Mon,9,"[0.6858288770053476, 5.260695187165775]"
Mon,10,"[0.4523076923076923, 5.190769230769231]"
Mon,11,"[0.48039215686274506, 3.6176470588235294]"
Mon,12,"[0.21818181818181814, 1.7818181818181817]"
Mon,13,"[0.5249169435215947, 2.5016611295681064]"
Mon,14,"[0.1690821256038647, 1.0434782608695652]"
Mon,15,"[0.20499999999999996, 1.295]"
Mon,16,"[0.5241730279898219, 3.312977099236641]"
Mon,17,"[0.5989847715736041, 3.751269035532995]"
Mon,18,"[0.5416666666666667, 3.3645833333333335]"
Mon,19,"[0.43203883495145634, 2.9902912621359223]"
Mon,20,"[0.29591836734693877, 2.8979591836734695]"
Mon,21,"[0.23076923076923073, 2.201923076923077]"
Mon,22,"[0.21575342465753422, 2.0445205479452055]"
Mon,23,"[0.6407766990291262, 1.854368932038835]"
Sat,0,"[0.25698324022346364, 2.0]"
Sat,1,"[0.2471910112359551, 1.4943820224719102]"
Sat,2,"[0.09615384615384615, 1.4134615384615385]"
Sat,6,"[0.04807692307692313, 0.40384615384615385]"
Sat,7,"[0.09615384615384615, 0.9038461538461539]"
Sat,8,"[0.3543689320388349, 2.0485436893203883]"
Sat,9,"[0.32692307692307687, 2.9038461538461537]"
Sat,10,"[0.441747572815534, 3.8932038834951457]"
Sat,11,"[0.3526570048309179, 2.8792270531400965]"
Sat,12,"[0.5194174757281553, 4.689320388349515]"
Sat,13,"[0.4057971014492754, 2.869565217391304]"
Sat,14,"[0.3932038834951457, 3.058252427184466]"
Sat,15,"[0.40384615384615385, 2.5576923076923075]"
Sat,16,"[0.4471153846153846, 3.5048076923076925]"
Sat,17,"[0.43203883495145634, 3.296116504854369]"
Sat,18,"[0.41062801932367154, 3.1690821256038646]"
Sat,19,"[0.3719806763285024, 2.8502415458937196]"
Sat,20,"[0.2596153846153846, 2.0]"
Sat,21,"[0.14423076923076927, 1.4134615384615385]"
Sat,22,"[0.15533980582524276, 1.2427184466019416]"
Sat,23,"[0.1456310679611651, 0.8058252427184466]"
Sun,0,"[0.21999999999999997, 1.34]"
Sun,1,"[0.07920792079207917, 0.46534653465346537]"
Sun,5,"[0.043010752688172005, 0.5376344086021505]"
