week_day,hour,heatdata
Fri,10,"[0.18181818181818177, 2.772727272727273]"
Fri,11,"[0.33333333333333337, 2.7142857142857144]"
Fri,12,"[0.20454545454545459, 1.6818181818181819]"
Fri,13,"[0.20454545454545459, 2.75]"
Fri,14,"[0.09090909090909094, 2.1136363636363638]"
Fri,20,"[0.18181818181818177, 1.6363636363636365]"
Fri,21,"[0.2142857142857143, 1.7857142857142858]"
Fri,22,"[0.06976744186046513, 0.3953488372093023]"
Fri,23,"[0.2962962962962963, 1.7777777777777777]"
Mon,10,"[0.17948717948717952, 0.5641025641025641]"
Mon,11,"[0.368421052631579, 2.6842105263157894]"
Mon,12,"[0.17948717948717952, 1.1282051282051282]"
Mon,13,"[0.28205128205128205, 2.0256410256410255]"
Mon,14,"[0.17948717948717952, 1.1538461538461537]"
Mon,20,"[0.13157894736842102, 1.0]"
Mon,21,"[0.22499999999999998, 1.525]"
Mon,22,"[0.125, 0.525]"
Mon,23,"[0.0, 0.0]"
Thu,10,"[0.34090909090909094, 2.227272727272727]"
Thu,11,"[0.32558139534883723, 2.9302325581395348]"
Thu,12,"[0.25, 3.772727272727273]"
Thu,13,"[0.06818181818181823, 0.4772727272727273]"
Thu,14,"[0.2272727272727273, 2.8181818181818183]"
Thu,20,"[0.18604651162790697, 1.0930232558139534]"
Thu,21,"[0.3023255813953488, 1.4883720930232558]"
Thu,22,"[0.2093023255813954, 2.7906976744186047]"
Thu,23,"[0.18518518518518523, 2.3333333333333335]"
Tue,10,"[0.2954545454545454, 2.0681818181818183]"
Tue,11,"[0.39534883720930236, 4.023255813953488]"
Tue,12,"[0.18181818181818177, 1.4318181818181819]"
Tue,13,"[0.26190476190476186, 1.7142857142857142]"
Tue,14,"[0.13636363636363635, 2.227272727272727]"
Tue,20,"[0.2558139534883721, 3.046511627906977]"
Tue,21,"[0.30952380952380953, 2.9761904761904763]"
Tue,22,"[0.09302325581395354, 1.5348837209302326]"
Tue,23,"[0.040000000000000036, 1.56]"
Wed,10,"[0.41025641025641024, 3.8461538461538463]"
Wed,11,"[0.39473684210526316, 4.315789473684211]"
Wed,12,"[0.1842105263157895, 1.9736842105263157]"
Wed,13,"[0.2894736842105263, 2.3684210526315788]"
Wed,14,"[0.18918918918918914, 3.108108108108108]"
Wed,20,"[0.17948717948717952, 2.948717948717949]"
Wed,21,"[0.28205128205128205, 1.8205128205128205]"
Wed,22,"[0.1282051282051282, 0.38461538461538464]"
Wed,23,"[0.0, 0.0]"
